variable,api,year,month,date,valor,periodo
INPC,v_inpc,2018,1,2018-01-01,98.794999699501,Ene 2018
INPC,v_inpc,2018,2,2018-02-01,99.17137448164,Feb 2018
INPC,v_inpc,2018,3,2018-03-01,99.492156980588,Mar 2018
INPC,v_inpc,2018,4,2018-04-01,99.154847046097,Abr 2018
INPC,v_inpc,2018,5,2018-05-01,98.994080173087,May 2018
INPC,v_inpc,2018,6,2018-06-01,99.376464931787,Jun 2018
INPC,v_inpc,2018,7,2018-07-01,99.909099104514,Jul 2018
INPC,v_inpc,2018,8,2018-08-01,100.492,Ago 2018
INPC,v_inpc,2018,9,2018-09-01,100.917,Sep 2018
INPC,v_inpc,2018,10,2018-10-01,101.44,Oct 2018
INPC,v_inpc,2018,11,2018-11-01,102.303,Nov 2018
INPC,v_inpc,2018,12,2018-12-01,103.02,Dic 2018
INPC,v_inpc,2019,1,2019-01-01,103.108,Ene 2019
INPC,v_inpc,2019,2,2019-02-01,103.079,Feb 2019
INPC,v_inpc,2019,3,2019-03-01,103.476,Mar 2019
INPC,v_inpc,2019,4,2019-04-01,103.531,Abr 2019
INPC,v_inpc,2019,5,2019-05-01,103.233,May 2019
INPC,v_inpc,2019,6,2019-06-01,103.299,Jun 2019
INPC,v_inpc,2019,7,2019-07-01,103.687,Jul 2019
INPC,v_inpc,2019,8,2019-08-01,103.67,Ago 2019
INPC,v_inpc,2019,9,2019-09-01,103.942,Sep 2019
INPC,v_inpc,2019,10,2019-10-01,104.503,Oct 2019
INPC,v_inpc,2019,11,2019-11-01,105.346,Nov 2019
INPC,v_inpc,2019,12,2019-12-01,105.934,Dic 2019
INPC,v_inpc,2020,1,2020-01-01,106.447,Ene 2020
INPC,v_inpc,2020,2,2020-02-01,106.889,Feb 2020
INPC,v_inpc,2020,3,2020-03-01,106.838,Mar 2020
INPC,v_inpc,2020,4,2020-04-01,105.755,Abr 2020
INPC,v_inpc,2020,5,2020-05-01,106.162,May 2020
INPC,v_inpc,2020,6,2020-06-01,106.743,Jun 2020
INPC,v_inpc,2020,7,2020-07-01,107.444,Jul 2020
INPC,v_inpc,2020,8,2020-08-01,107.867,Ago 2020
INPC,v_inpc,2020,9,2020-09-01,108.114,Sep 2020
INPC,v_inpc,2020,10,2020-10-01,108.774,Oct 2020
INPC,v_inpc,2020,11,2020-11-01,108.856,Nov 2020
INPC,v_inpc,2020,12,2020-12-01,109.271,Dic 2020
INPC,v_inpc,2021,1,2021-01-01,110.21,Ene 2021
INPC,v_inpc,2021,2,2021-02-01,110.907,Feb 2021
INPC,v_inpc,2021,3,2021-03-01,111.824,Mar 2021
INPC,v_inpc,2021,4,2021-04-01,112.19,Abr 2021
INPC,v_inpc,2021,5,2021-05-01,112.419,May 2021
INPC,v_inpc,2021,6,2021-06-01,113.018,Jun 2021
INPC,v_inpc,2021,7,2021-07-01,113.682,Jul 2021
INPC,v_inpc,2021,8,2021-08-01,113.899,Ago 2021
INPC,v_inpc,2021,9,2021-09-01,114.601,Sep 2021
INPC,v_inpc,2021,10,2021-10-01,115.561,Oct 2021
INPC,v_inpc,2021,11,2021-11-01,116.884,Nov 2021
INPC,v_inpc,2021,12,2021-12-01,117.308,Dic 2021
INPC,v_inpc,2022,1,2022-01-01,118.002,Ene 2022
INPC,v_inpc,2022,2,2022-02-01,118.981,Feb 2022
INPC,v_inpc,2022,3,2022-03-01,120.159,Mar 2022
INPC,v_inpc,2022,4,2022-04-01,120.809,Abr 2022
INPC,v_inpc,2022,5,2022-05-01,121.022,May 2022
INPC,v_inpc,2022,6,2022-06-01,122.044,Jun 2022
INPC,v_inpc,2022,7,2022-07-01,122.948,Jul 2022
INPC,v_inpc,2022,8,2022-08-01,123.803,Ago 2022
INPC,v_inpc,2022,9,2022-09-01,124.571,Sep 2022
INPC,v_inpc,2022,10,2022-10-01,125.276,Oct 2022
INPC,v_inpc,2022,11,2022-11-01,125.997,Nov 2022
INPC,v_inpc,2022,12,2022-12-01,126.478,Dic 2022
INPC,v_inpc,2023,1,2023-01-01,127.336,Ene 2023
INPC,v_inpc,2023,2,2023-02-01,128.046,Feb 2023
INPC,v_inpc,2023,3,2023-03-01,128.389,Mar 2023
INPC,v_inpc,2023,4,2023-04-01,128.363,Abr 2023
INPC,v_inpc,2023,5,2023-05-01,128.084,May 2023
INPC,v_inpc,2023,6,2023-06-01,128.214,Jun 2023
INPC,v_inpc,2023,7,2023-07-01,128.832,Jul 2023
INPC,v_inpc,2023,8,2023-08-01,129.545,Ago 2023
INPC,v_inpc,2023,9,2023-09-01,130.12,Sep 2023
INPC,v_inpc,2023,10,2023-10-01,130.609,Oct 2023
INPC,v_inpc,2023,11,2023-11-01,131.445,Nov 2023
INPC,v_inpc,2023,12,2023-12-01,132.373,Dic 2023
INPC,v_inpc,2024,1,2024-01-01,133.555,Ene 2024
INPC,v_inpc,2024,2,2024-02-01,133.681,Feb 2024
INPC,v_inpc,2024,3,2024-03-01,134.065,Mar 2024
INPC,v_inpc,2024,4,2024-04-01,134.336,Abr 2024
INPC,v_inpc,2024,5,2024-05-01,134.087,May 2024
INPC,v_inpc,2024,6,2024-06-01,134.594,Jun 2024
INPC,v_inpc,2024,7,2024-07-01,136.003,Jul 2024
INPC,v_inpc,2024,8,2024-08-01,136.013,Ago 2024
INPC,v_inpc,2024,9,2024-09-01,136.08,Sep 2024
INPC,v_inpc,2024,10,2024-10-01,136.828,Oct 2024
INPC,v_inpc,2024,11,2024-11-01,137.424,Nov 2024
INPC,v_inpc,2024,12,2024-12-01,137.949,Dic 2024
INPC,v_inpc,2025,1,2025-01-01,138.343,Ene 2025
INPC,v_inpc,2025,2,2025-02-01,138.726,Feb 2025
INPC,v_inpc,2025,3,2025-03-01,139.161,Mar 2025
INPC,v_inpc,2025,4,2025-04-01,139.62,Abr 2025
INPC,v_inpc,2025,5,2025-05-01,140.012,May 2025
INPC,v_inpc,2025,6,2025-06-01,140.405,Jun 2025
INPC,v_inpc,2025,7,2025-07-01,140.78,Jul 2025
INPC,v_inpc,2025,8,2025-08-01,140.867,Ago 2025
INPC,v_inpc,2025,9,2025-09-01,141.197,Sep 2025
INPC,v_inpc,2025,10,2025-10-01,141.708,Oct 2025
INPC,v_inpc,2025,11,2025-11-01,142.645,Nov 2025
INPC,v_inpc,2025,12,2025-12-01,143.042,Dic 2025
INPC,v_inpc,2026,1,2026-01-01,143.588,Ene 2026
Subyacente,v_subyacente,2018,1,2018-01-01,98.252014009991,Ene 2018
Subyacente,v_subyacente,2018,2,2018-02-01,98.731688018981,Feb 2018
Subyacente,v_subyacente,2018,3,2018-03-01,99.057357158277,Mar 2018
